date,project
1998/3/14, 280.23889844399673
1998/8/12, 632.4232830739857
1998/12/2, 1042.8765037483536
1999/3/23, 1475.5644979212739
1999/7/12, 2056.4843154179325
1999/10/31, 2748.5780004073968
2000/2/19, 3670.4310115486514
2000/6/10, 4673.811525517951
2000/9/29, 5669.780448321071
2001/1/18, 6754.68846511843
2001/5/9, 7943.358758242401
2001/8/28, 9146.852233698752
2001/12/18, 10372.580482653662
2002/4/8, 11694.659416768998
2002/7/28, 12905.564483391536
2002/11/16, 14220.231826340678
2003/3/7, 15646.073036782633
2003/6/27, 17168.264932385013
2003/10/16, 18571.8713693284
2004/2/4, 19975.477806271785
2004/5/25, 21505.081293040348
2004/9/13, 22901.276138817553
2005/1/3, 24178.885525935766
2005/4/24, 25560.257189380594
2005/8/13, 26963.863626323982
2005/12/2, 28278.53096927314
2006/3/23, 29504.259218228046
2006/7/13, 30626.225190856334
2006/11/1, 31629.60570482564
2007/2/20, 32729.336903955373
2007/6/11, 33621.543550431874
2007/9/30, 34617.512473234994
2008/1/20, 35613.481396038114
2008/5/10, 36461.218495517496
2008/8/29, 37264.48604799976
2008/12/18, 38119.63473864533
2009/4/8, 39123.015252614634
2009/7/29, 39992.987125592575
2009/11/17, 40788.84308690865
2010/3/8, 41547.641092393795
2010/6/27, 42165.618865721386
2010/10/16, 42761.36186555042
2011/2/5, 43364.516456545636
2011/5/27, 43967.67104754086
2011/9/15, 44563.41404736989
2012/1/4, 45077.62954437087
2012/4/24, 45473.25958271287
2012/8/14, 45883.71280338723
2012/12/3, 46271.93125056304
2013/2/11, 46535.59928501726
