date,project
2008/3/12, 209.9856157330796
2008/5/17, 372.96411268925294
2008/7/22, 598.5162410740741
2008/9/26, 1125.1769779310562
2008/12/2, 1285.9976880876347
2009/2/6, 6145.368523168378
2009/4/13, 9291.002039905172
2009/6/18, 14395.192491891794
2009/8/24, 16806.367157910485
2009/10/29, 35865.275773554575
2010/1/3, 41948.74469316704
2010/3/11, 50235.59016493568
2010/5/16, 57787.97678598529
2010/7/21, 75622.78731709719
2010/9/25, 94192.05669892952
2010/12/1, 121574.832289387
2011/2/5, 155322.91791940713
2011/4/12, 194457.03512136498
2011/6/17, 249504.42742222967
2011/8/23, 313610.14554862585
2011/10/28, 394608.4172415547
2012/1/2, 501067.9290927355
2012/3/8, 679688.0230270368
2012/5/14, 916012.4145374489
2012/7/16, 1202893.1545049767
2012/9/9, 1582439.1998928487
2012/11/2, 1899564.2919266429
2012/12/21, 2192738.585545512
2013/1/29, 2476414.1405688347
2013/3/7, 2854942.8080508765
2013/4/2, 3161789.9501910694
2013/4/23, 3507964.601617608
